,title
200,"Дома обстановка нормальная: родители взяли небольшой тайм-аут и не стараются указывать, что тебе делать и с кем общаться. Осторожнее с холодными помещениями, твоя поясница сегодня уязвима. Твоя бдительность может сегодня улетучиться, ты станешь рассеянной. Поэтому сегодня лучше избегай походов по магазинам, контролируй свои траты, предельно аккуратно относись к своим вещам. Максимально хорошее время - с 10 до 12 утра. Можешь планировать на сегодняшнее число презентации, торжественные мероприятия, совещания - они пройдут успешно и пафосно. Сегодня обязательно постарайся провести значительную часть времени в массажном салоне. Это позволит тебе чувствовать себя более активной."
201,"Не даром говорят: понедельник - день тяжелый, сегодня на тебя навалится целая гора дел, но не нужно расстраиваться. Звезды ручаются, что награда за твои труды с лихвой покроет затраты. Попытайся не впутаться в разные сомнительные предприятия, не иди на поводу у подружек. Звезды рекомендуют в этот день внести некоторое разнообразие в меню и приготовить на ужин что-нибудь экзотическое. Возможно скрытое или запланированное состязание творческого плана. На работе ты обнаружишь какие-то нечестные отношения или тайные механизмы процессов, которыми ты давно интересовалась. А это, в свою очередь, может изменить ход многих событий и диспозицию сил. Тем женщинам, которые заняты проблемой изменения внешности, не следует откладывать визит в соответствующее медицинское учреждение. Луна в благоприятном положении для стрижки волос. По поверью после стрижки в этот день волосы отрастут более пышные и густые. Сегодняшний день может стать трудным периодом для тех, кто склонен к переутомлению и заболеваниям сердца. Таким людям не нужно перегружать себя физически или эмоционально."
202,"В этот день будет особенно уязвим твой желудок. Звёзды позволяют выбирать только те дела, которые не лишат твоих близких общения с тобой. Один из основных моментов сегодняшнего дня - не сидеть сложа руки. Это утро тебе нужно просто пережить стиснув зубы... Не следует начинать сегодня новые дела, стоит пока окончательно завершить старые, чтобы больше к ним не возвращаться. Не оставайся сегодня в офисе надолго, пытаясь что-то доделать, толку от этого все равно не будет. Наметятся перспективы для долгосрочных заграничных командировок. Весь сегодняшний день могут возникать неприятные конфликты, так или иначе связанные с материальными средствами, в отношении которых еще вчера все было в порядке, а сегодня оказалось , что их нет."
203,"В сексе полный порядок. Партнер будет стараться подарить тебе наслаждение: не надо себя сдерживать, хоть на время выбрось из головы все заботы. Сегодня, активизировав все свои ресурсы, получится решить некоторые проблемы материального характера, однако результат будет весьма скромным. Избегай переохлаждения - возможны заболевания верхних дыхательных путей. Финансовое положение может сильно пошатнуться, если ты не начнешь подходить к делу с умом. Во второй половине дня вероятны денежные поступления, которыми необходимо разумно распорядиться. Еда становится жиром, если ей злоупотреблять. Утром лучше есть меньше или вообще не есть."
204,[club67587489|Читать пoлнoстью..]
205,"Старайся не вступать в решение финансовых вопросов - это может оказаться тебе во вред. На данный момент в семье все отлично. Ты всем довольна. Но если ты хочешь чего-то еще, то тебе стоит озаботиться этим именно теперь. Сейчас самое время. Отличный день. Все будет удаваться сегодня само собой, жизнь не покажется скучной и серой. Отнесись внимательнее к своему самочувствию, так как наступает достаточно неустойчивый период для твоего здоровья, особенно утро сегодняшнего дня. Не обращай внимание на сновидения и приметы. Постарайся в этот день не дать бурным эмоциям взять верх над разумом. Ближе к концу этого дня ты почувствуешь новые силы и уверенность в успехе."
206,"Доверие и взаимопонимание с супругом или родителями могут серьезно ухудшиться. День удачен для запуска больших проектов. Что касается состояния твоего здоровья, то ты слишком зависима от него, а должно быть наоборот - оно должно зависеть от тебя! Помни, что ломаются даже машины, не говоря уже о людях. Нелишне задуматься и об увеличении семейства. Не забудь хорошенько перекусить утром - днем ты можешь обнаружить, что у тебя нету времени, чтобы поесть. Этим днем по положению звезд можно определить, что лучше не принимать серьезных решений, было бы правильным сдерживать свои эмоции. Ты очень устала за неделю, даже, кажется, хочешь только одного - все выходные проваляться на кресле с журналом или книжкой. Не переживай, ты скоро придешь в норму."
207,"Возможно некоторое охлаждение в отношениях, обиды и даже разлука. Не нужно цепляться за исчерпавшие себя отношения, одиночество тебе все равно не грозит. Не нужно излишне зацикливаться на своих слабостях и недомоганиях. Не поднимай панику, иначе к вечеру ты действительно настолько накрутишь себя, что все совсем плохо. В первой половине дня тебе придется перенести не очень приятное событие. Лучше в этот день не подходить близко к опасным предметам. Сходи куда-нибудь с приятными людьми, которым ты доверяешь. Поток комплиментов может ожидать тебя сегодня. Только изредка снимай розовые очки для того, чтобы не зазнаваться чрезмерно. Весь сегодняшний день пойдет под знаком дружбы и преданности. И все твое свободное время будет отдано друзьям."
208,"Отдельного внимания может потребовать обстановка в семье. Сегодня с утра вдруг может заболеть зуб, мир покажется тебе скучным и тусклым. Не нужно сразу поддаваться плохому настроению, лучше прими обезболивающее и все будет не так плохо, как казалось. Твои мысли сегодня будут заняты новым поклонником, хотя эта связь окажется недолговечной из-за твоей переменчивости. Первая половина дня - благоприятное время для примирения, если ты с кем-то в ссоре со вчерашнего дня. Сегодня не нужно покупаться на заманчивые предложения, веди себя осторожнее, контролируй свою речь. Приди сегодня пораньше домой и пригласи родных в театр, кино или просто погулять. Все неприятности случатся только по твоей собственной вине, глупо сетовать на судьбу или вмешательство таинственных сил в твою жизнь: помни, что человек сам творец своего счастья. Если сегодня утром твой макияж ляжет сам собой, не удивляйся. Звезды говорят, что сегодняшний день ознаменован всплеском твоего обаяния."
209,"Отличные результаты получит та, кто увлечена своей работой, деятельностью. Постарайся заботливо отнестись к своему здоровью, оно не беспредельно. Не перенапрягай позвоночник. Сегодня полезны кровоочистительные процедуры. Смотри не переборщи с макияжем сегодня. Судя по тому, что говорят звезды, для тебя основным качеством в этот день будет умеренность. Она поможет тебе избежать многих проблем. В понедельник необоснованные придирки шефа повергнут тебя в полное уныние, но надо во что бы то ни стало справиться с неудачами. Возвращайся к незавершенным делам и постарайся вовремя устранить возникшие проблемы. Можешь посвятить этот вечер визиту в кинотеатр."
210,"Сон, посетивший тебя этой ночью, может воплотиться в реальности. Возможно, в этот день тебе придется сделать решающий выбор. Вечером возрастет вероятность катастроф, травм. Неблагоприятное расположение звезд усилит эмоции и инстинкты, которые сложно будет держать под контролем. Будь инициативной и деятельной. Таким образом, ты сможешь неплохо заработать и почувствовать себя гораздо лучше (и морально, и физически). Ты просто должна оказаться сегодня в центре внимания. День подходит для проведения непродолжительных мероприятий. Дома не упрямься, в семейных конфликтах ищи компромиссные решения. Неприятный день. Планы могут потерпеть изменения, обещания могут оказаться ложными, напряженные усилия - не принести никаких результатов. Не принимай никаких важных решений и серьезных обязательств - на сегодняшний день время для этого еще не настало."
211,"Не пытайся найти способы легкого заработка - ничего не получится, твой кошелек не станет толще. Также звезды не рекомендуют проводить время за азартными играми, поскольку есть вероятность выбросить на ветер вообще все, что у тебя осталось. Сегодня будет особенно подвержен перегрузкам твой желудок. Удачный день для проведения митингов. Общение с людьми разных положений будет идти с успехом. Ты будешь находить взаимопонимание даже с дворовыми котами и собаками, которые расплодились тут и там. Сегодня с утра тебя будут переполнять творческие идеи и замыслы. Тебе понадобятся единомышленники, которые помогли бы их воплощению в жизнь. Не стоит забывать об интуиции. Она поможет избежать тебе многих ошибок. Если в прошлом у тебя остались неразрешенные ситуации, вернись к прошлым событиям и пересмотри свое поведение. Это даст тебе возможность двигаться вперед и не думать о прошлом. К концу дня настроение значительно ухудшится, и если ты решишь остаться дома, то окончательно потеряешься среди негативных мыслей и уляжешься спать уверенная в том, что жизнь - жестокая штука. В этот день ты поймешь, что если хочешь что-то сделать хорошо, придется делать это самой. Подходящее время убедить начальство в том, что у тебя очень хорошие способности."
212,"Сегодня весь день тебя ждут неприятности на службе, но неожиданный прилив сил наполнит тебя в тот момент, когда ты ждешь этого меньше всего. Возможно ухудшение болезни. Утром твои планы может расстроить непредвиденный звонок кого-то из родственников. Внимание на бытовые мелочи не обращай. Постарайся взглянуть на все это со стороны, тогда есть вероятность, что выход найдется сам собой. Не исключено, что сегодня тебе придется выбирать, как провести вечер. Не забывай, что твои родные нуждаются в общении с тобой так же сильно, как друзья и коллеги. События, имеющие место в последние дни, будут иметь глубокий, почти фатальный характер. В этот день ты очень обаятельна для противоположного пола. В семейных отношения неожиданно возникнет кризис. Постарайся поступать, руководствуясь здравым смыслом, а не эмоциями. Если тебе дорога стабильность, постарайся не вести себя ветрено."
213,"Твое желание быть немного более сдержанной будет расценено твоим приятелем как игнорирование, что приведёт к недоразумениям и обидам. Сегодня ты сможешь наконец понять свои внутренние ощущения, которые подскажут, что тебе хочется изменить в своей внешности. Удачный день, чтобы выбросить наскучившую одежду. Первая половина дня - не самое лучше время для активных действий. Ты еще не полностью включилась в рабочий режим и не должна браться за ответственные задачи. Если ты не уверена в своих возможностях, лучше не браться сегодня за новое предприятие. Уже сегодня можно подумать о планах на следующую неделю, поскольку на выходных будет не до того. Стремление в любом случае настоять на своем сослужит тебе плохую службу. Один из самых важных моментов этого дня - это отношения с возлюбленным. Ты можешь разрешить все проблемы, которые приносят несчастье в вашу совместную жизнь и вызывают у тебя грусть и беспокойство. Не принимай близко к сердцу злые слова, которые бросают тебе окружающие, и неровности жизненной дороги, постоянно заставляющие тебя быть в напряжении."
214,"Крайне неординарный день, но все-таки осторожнее на поворотах! Особенно во второй половине дня. Помни о своем здоровье, так как сегодняшний день тяжелый - вероятны сбои в нервной системе. Перед выходом из дома потрать больше, чем обычно, времени на свой маникюр. Этим утром у тебя слишком много сил. Смотри, не выплескивай все на окружающих, а то можешь чего-нибудь натворить! Тебе нужно соблюдать нейтралитет в спорных ситуациях, а лучше вообще сегодня не вступать в противостояние с окружающими. Озаботься процедурами, позволяющими сбросить напряжение. Возможно, стоит провести активные выходные."
215,"Сны, приснившиеся тебе в этот день, скорее всего, не сбудутся. Преподнеси подарок, неважно кому, какой и по какому поводу. Этот вечер лучше провести в тишине и спокойствии, неплохо бы немного релаксировать. Возможно скрытое или запланированное соревнование творческой направленности. Не нужно в этот день думать о карьере или заниматься рабочими делами. Наступившие выходные - твой шанс хорошенько отдохнуть, постарайся им воспользоваться по полной программе. В этот день твой успех в любом начинании будет зависеть от того, сколько внимания ты уделишь своей внешности. Дома обстановка нормальная: родители взяли небольшой тайм-аут и не достают тебя своими взглядами на жизнь."
216,"Будь бдительна и осторожна в общении с коллегами, возможна утечка серьезной информации. Здоровье может ухудшиться, так как на нем отразится твоя усталость и склонность все видеть в отрицательном свете. Необычными станут любовные дела: включится твоя космическая энергия любви. Все шаги, которые ты предпримешь ради своего личного счастья, будут вознаграждены сполна. В понедельник недоразумения с коллегами повергнут тебя в полное уныние, однако, ты успешно с ними справишься. Вспомни, возможно, ты упустила из виду что-то действительно важное - с кем-то поговорить или поздравить с юбилеем - еще не поздно наверстать упущенное. Вернись сегодня пораньше с работы и вытащи своего друга в театр или на выставку."
217,"Будут успешными взаимоотношения с представителями другой культуры, религии. Сегодня ты будешь жадно собирать всю информацию, которая будет доходить до твоих ушей. В этот день ты хочешь не бурного секса, а только чуть-чуть тепла и нежности. Звезды предупреждают о возможности обострения гастрита. Решение профессиональных вопросов лучше отложить, чтобы не навредить."
218,"В этот день от тебя потребуется особый такт и понимание, чтобы не испортить отношений в кругу близких тебе людей. Старайся избегать открыто высказывать свое мнение. Вообще, лучше больше слушай и меньше говори. Сегодня ты блистаешь, тобой любуются и восхищаются, продолжение дня сулит множество загадок. Многообещающий день! Максимально хорошее время - с 9 до 11 утра. Старайся не быть слишком доверчивой, не надо рассказывать о себе слишком много, пусть твои тайны останутся при тебе. После работы не стоит посещать злачные места, ты не почувствуешь в результате себя отдохнувшей, сколь бы хорошо выбранное тобой заведение ни было."
219,"Сегодня начальство будет благосклонно. Если ты сумеешь доказать свою незаменимость, ты сможешь добиться повышения зарплаты. Сегодня тебе не удастся обойти стороной конфликтные ситуации с престарелыми родственниками. В любом случае, прояви максимум предусмотрительности и твои добрые слова вернуться сторицей. Сегодня тебя может одолеть поспешность, стремление во что бы то ни стало потратить свои деньги. Поиск спутника жизни может успешно закончится у тех, кто ищет взаимности в отношениях. Здоровье хорошее. А если это не так - сегодня благоприятный день для его восстановления. Все будет замечательно!"
220,"Обрати пристальное внимание на душевное состояние членов семьи. Иначе ты можешь оказаться виноватой в их проблемах. Не стоит пытаться сделать все дела в первой половине дня, иначе к вечеру ты будешь совершенно уставшая. Планеты советуют поменять свой взгляд на мир коренным образом, решительно отказаться от чего-то старого и ненужного. Впереди выходные - уже только мысль о них придает тебе бодрости. Направленные внутрь, чувства окажутся губительными для тебя. Для обаятельных гостей официальных приемов будут уместны длинные платья из кашемира, подчеркивающие нестандартность и вкус их обладательницы. Постарайся подойти серьезно к любовным отношениям. В этот день тебя ожидает море комплиментов. Вокруг тебя будут постоянно находится мужчины, многим из которых ты симпатизируешь. Ты можешь потерять голову и пуститься во все тяжкие. И никакие, даже самые убедительные, на первый взгляд, доводы не оправдают твоих поступков."
221,"Сегодня окончательно разрешатся сложности со здоровьем, которые мучили тебя в последний период. Твое настроение сегодня очень переменчиво. Возрастет способность идти на контакт, стремление общаться и знакомиться с другими людьми. Утро начнется с неожиданного знакомства, что всколыхнет в тебя давно забытые чувства. Тебе следует завершить все важные дела до обеда. Может, сегодня настало время уйти в отрыв? Отложи домашние дела на потом, осталось только решить, на какую вечеринку ты сегодня пойдешь. Даже ординарное событие кажется таинственным, когда происходит с тобою впервые. Сегодняшний день может преподнести тебе подобное переживание. Не волнуйся - все будет хорошо, ведь у тебя есть поддержка друзей и близких. В интимных отношениях наступает новый период, вполне возможно, за счет смены действующих лиц. Сегодня тебе может представиться случай встретить обаятельного незнакомца."
222,"Первая половина дня - не тот период, когда ты можешь позволить себе быть неосторожной. Послушай свой внутренний голос и попробуй его правильно истолковать. Если твои действия приведут к тому, что ты пойдешь не в том направлении, значит, твои эмоции заглушили внутренний голос. Вечер приглашает на поиски смелых приключений. Если ты - жизнерадостный человек, тебя сегодня ожидают прекрасное настроение, множество поклонников и удача. Звезды советуют выбирать только те дела, которые не лишат твоих близких общения с тобой. Вопросы, связанные с финансами, требуют мудрых решений. Тебе следует искать или придумывать что-нибудь новое. Здоровье в норме, особо ничего беспокоить не будет. Весь выходной день надо продолжать борьбу со своей ленью."
223,"Чтобы избежать глупых разочарований, аккуратно подходи к делам, связанным с финансами. Начало недели будет тяжелым, и уже с самого утра понедельника начнут накапливаться досадные неприятности. Старайся в этот день не давать отрицательным эмоциям одержать верх над рассудком. Вечером вероятно ухудшение самочувствия, небольшая хандра. Запас твоих сил таков, что ты сможешь справиться с любой жизненной проблемой. Не избегай серьезных поступков, если понадобится действовать в каких-то ситуациях. И помни, лучшая форма борьбы - не в одиночку, а сообща. Начальники обратят внимание на твои аккуратность и сосредоточенность в работе. Твои личные отношения становятся серьезней, постарайся это понять. Человек, в объятия которого ты готова рухнуть, может оказаться не готовым к новой фазе ваших отношений."
224,[club67587489|Читать пoлнoстью..]
225,"Сегодня, используя свое обаяние и дипломатические способности, ты можешь достичь своей цели и привлечь к своим делам большинство окружающих, а всем вместе веселее справиться с любым делом. С сегодняшнего дня намечаются многообещающие финансовые тенденции. Но, к сожалению, это пока лишь возможность а не реальные деньги. Сегодня постарайся уделить больше внимания своей личной жизни. Заставь любимого посмотреть на тебя другими глазами. Тебе ведь нравиться играть разные роли. Сегодня стань - женщиной вамп! Нужен соответствующий роли костюм. Для пикантности не одевай белье. Намекни любимому о твоем секрете. Твои труды будут вознаграждены сладчайшим из плодов. В семье может встать вопрос о сохранении отношений. Не поддавайся на порывы, которые тебе диктуют чувства, следуй логике. Стремись к стабильности, и не позволяй себе ветреных поступков."
226,"Напряженный день. Вероятны неожиданные перемены, которые ты примешь близко к сердцу, так как именно сейчас тебе ничего не хочется менять. Наибольшие проблемы могут возникнуть в отношениях с партнерами. Твое самочувствие нуждается в повышенном внимании. Но, в любом случае, это поправимо. Причем без вмешательства людей в белых халатах. Твой будильник прозвенит на самом интересном месте очень необычного сновидения. Сделай перерыв в работе, отвлекись от дел и восполни недостаток общения с друзьями. Парам неплохо бы использовать сегодняшний день для оживления своих отношений. Даже если вы живете вместе целую вечность, запланируй сегодня провести вечер вдвоем в тихом ресторанчике ли уютном кафе. Все пройдет просто на ""ура"". Не очень приятное известие внесет путаницу в этот день, а предпринятые усилия окажутся бесполезными. Может появиться соблазн начать выяснение отношений с любимым человеком. Тем более, что этот разговор, на твой взгляд, давно назрел."
227,"Хороший эффект дают процедуры, которые оказывают влияние на электромагнитное поле организма, то есть животное электричество или лечение экстрасенсов. Давно позабытые дела лучше попытаться разрешить в начале дня. Внимание на бытовые мелочи не обращай. Всякое бывает, но не стоит на этом зацикливаться, тогда есть вероятность, что выход найдется сам собой. Во второй половине дня ожидается приятная новость. В этот день могут появиться проблемы, хотя ты не сможешь отказаться от задуманного, так как в этом случае, возможно, придётся идти на некоторые жертвы. День достаточно напряжен, склоняет к необдуманным решениям, иллюзиям, бесполезным тратам сил и средств. Зато он достаточно хорош для ремонта давно сломанной аппаратуры, умственной деятельности. Могут возникнуть ситуации, в которых просто необходимо будет найти виноватого. Если ты хоть как-то будешь иметь к происходящему отношение, тебя сделают ""крайним"", так что следует обезопасить свою возможную участь заранее. Удерживайся от желания потратить больше денег, чем ранее планировала. Соблазны везде подкарауливают тебя."
228,"С раннего утра, проснувшись, ты почувствуешь себя избранной. Находясь в центре внимания, ты рискуешь остаться без сил, даже если ты окружена теплой атмосферой. Постарайся соизмерять свои возможности. Старайся не быть слишком доверчивой, не рассказывай о себе слишком много, пусть твои тайны останутся пока только твоими. Подумай о приближающихся выходных - эта мысль поможет тебе преодолеть последний рабочий день. Будь аккуратна на улице, переходи дорогу на зеленый свет. В вопросах, связанных с деньгами, постарайся не рисковать: особенно противопоказано участие во всевозможных лотереях. Пора выделить время для укрепления физической формы, может возникнуть необходимость укрепить мышцы живота и ног. Восстановленная упругость мышц позволит повысить общий тонус. Твой образ начинает чаще притягивать мужские взоры, тебе дарят дорогие подарки."
229,"Удачный день для любовных свиданий. Твое женское обаяние сегодня не имеет равных. Сегодня вероятны конфликты с друзьями, которые пытаются контролировать твои действия и решения, надавив на тебя или долго и нудно убеждая в своей правоте. Ты не ощущаешь недостатка в материальных средствах и можешь разрешить себе некоторые покупки. Не терпящие отлагательства дела лучше начинай разгребать спозаранку. Будет не лишним посетить те места, где ты давно не была. Состоявшиеся в этот день встречи с близкими родственниками или старыми приятелями принесут тебе массу новых впечатлений и идей. Посвяти этот день восстановлению мир со всеми, с кем ты конфликтуешь."
230, 
231,Кубики пресса дома - уникальный пояс для тренировки
232,"Сегодня ты способна на всевозможные безумства. Устроишь что-нибудь эдакое, а потом все остальное время станешь, замирая, ждать законной расплаты. Но она так и не последует, сегодня звезды повернулись в твою сторону. Поэтому из этого приключения ты выйдешь без потерь: ругаться никто не будет. Сегодня опасно покупаться на заманчивые идеи, будь осторожнее, контролируй свою речь. Постарайся сегодня не сидеть дома, выходи в общество, и у тебя есть замечательный шанс встретить свою судьбу, просто нужно верить в удачу. События, происходящие с тобой в последнее время, будут носить глубокий, почти судьбоносный характер. Макияж может разрушить привычный образ. В это день можно ждать от своего кавалера неожиданного подарка. Не скрывай своих эмоций, он будет счастлив, что сумел поднять твое настроение. Днем можешь походить по магазинам, сегодня нет желания сорить деньгами, может, это признак начавшейся депрессии? Если недавно имел место семейный конфликт, не стоит откладывать примирение. Сегодня как раз удачный день, чтобы достигнуть взаимопонимания."
233,"СКОРПИОН + СКОРПИОН = скука врозь, теснота вместе. Один из Скорпионов должен уступать лидерство и не тянуть одеяло на себя. "
234, 
235,"Сегодня тебя могут ждать заманчивые предложения, но не стоит принимать решение не обдумав его хорошенько. Не самый удачный день для любовного свидания с твоим кавалером. Лучше дождаться более удачного расположения небесных знаков. В середине дня не исключены неожиданные затраты, это повлечет за собой ограниченность в финансовых возможностях. Сегодня не лучший день для обсуждения планов на будущее, новых идей, и первых шагов для их осуществления. Сегодня утром ты будешь искать причину, чтобы подольше поваляться в постели. Так как достойного повода найти не удастся, придется вставать и приниматься за дела. Не позволяй негативным эмоциям завладеть твоими словами и мыслями. Вечером нанеси визит в какое-нибудь развлекательное заведение."
236,"В профессионально сфере несмотря, на мелкие проблемы все пойдет хорошо. Стоит приложить некоторые усилия и все пойдет как по маслу. В денежных вопросах все не так гладко, но прибыль вполне возможна. Если не хочешь, чтобы день прошел зря, проснуться нужно пораньше. Сегодня надо быть предельно внимательной при общении с любыми электрическими приборами. Но ближе к вечеру ты будешь пользоваться особенным вниманием. День удачен для преодоления больших расстояний (путешествий, поездок и т.д.), однако существует один неприятный момент: попутчики могут подвести тебя. Новых финансовых поступлений сегодня не предвидится. Посему постарайся разумно использовать имеющиеся у тебя средства, чтобы не сесть на мель. Желательно не изливать наружу свою обиду и раздражение, твой близкий человек может оказаться не готов к этому. Лучше покажи себя с положительной стороны, будь с ним чуткой и нежной. Сегодня не лучшее время для ссор по иллюзорному поводу. Хорошее время для укрепления взаимопонимания с домочадцами."
